CTM_Average,CTM_Bad,CTM_Good,CA_Average,CA_Bad,CA_Good,AS_No,AS_Yes,LP_Average,LP_Bad,LP_Good,FES_No,FES_Yes,R_In_Dhaka_City,R_Outside_Dhaka_City,SH,SM,ECA_No,ECA_Yes,DA_No,DA_Yes,RS_NO,RS_Yes,FS_No,FS_Yes,FcS_No,FcS_Yes,PI_No,PI_Yes,RWF_Average,RWF_Bad,RWF_Good,JTF_No,JTF_Yes,LS,FYR
0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,2,8,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,2.69,2.7
0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,3,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,2.69,2.85
1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,3,7,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,3.04,3.05
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,5,8,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1.78,2.23
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1.62,2.09
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,2,8,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1.6,2.28
0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,8,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,3.39,3.81
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,8,8,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,3.74,2.34
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,8,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,2.13,1.9
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,8,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1.33,2.32
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,5,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1.79,3.23
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,3,3,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,2.89,1.84
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,8,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1.59,1.76
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,8,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,2.84,2.56
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,8,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,2.79,2.82
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,6,0.5,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,3.02,2.43
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,2,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,3.05,2.89
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,4,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3.5,2.08
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,2,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,2.72,2.21
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4.5,4.5,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3.15,3.07
0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,8,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,2.43,2.26
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,6,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,3.06,3.2
0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,8,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,2.12,2.52
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4,6,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,2.99,2.8
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,3,7,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,3.44,3.3
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,5,5,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3.61,3.35
1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,4,8,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,2.97,3.02
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,3,6,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,2.84,2.88
0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,8,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1.96,2.17
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,7,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3.31,2.34
0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,6,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,3.02,3.03
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,2.94,2.6
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,7,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,2.73,2.57
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,5,4,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3.44,3.56
1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,6,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,2.97,2.86
0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,8,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,3.06,3.07
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,6,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,2.46,3.02
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,8,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,2.44,2.34
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,6,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,2.86,3.31
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,7,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,3.14,3.16
0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,8,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1.72,1.44
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,3,6,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3.1,3.13
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4,5,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3.1,3.35
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,5,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,2.84,3.16
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,8,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1.87,2.38
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4,6,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,2.67,3.47
0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,6,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,2.92,2.48
1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,7,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,2.54,2.34
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,8,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1.69
1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,4,4,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2.84,2.88
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,7,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3.42,3.46
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,3,3,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3.7,3.59
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,0.5,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,2.87,2.34
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,2,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,2.94,2.7
0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2,2,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2.13,2.37
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,3,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1.67,2.14
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,3,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2.06,2.04
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,3,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3.21,3.11
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3.36,3.41
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,5,10,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0.94,1.1
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,3,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1.79,1.58
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,4,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2.5,2.33
0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,3,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1.69,2.34
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1.92,1.77
1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,7,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,2.94,2.34
1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,5,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1.19,1.69
0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,12,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1.69,2.06
0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,2,4,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1.33,2.34
