CTM,CA,AS,LP,FES,Resi,ECA,DA,RS,FS,FcS,PI,RWF,JTF,SH,SM,LS,FYR
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Average,Yes,2,8,2.84,2.56
Bad,Bad,No,Bad,Yes,In Dhaka City,No,Yes,No,Yes,Yes,Yes,Bad,No,0,8,2.79,2.82
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,Yes,Good,Yes,6,0.5,3.02,2.43
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Bad,Yes,2,2,3.05,2.89
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,Yes,2,4,3.5,2.08
Average,Average,Yes,Average,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Average,No,2,2,2.72,2.21
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,Yes,4.5,4.5,3.15,3.07
Bad,Bad,No,Average,Yes,In Dhaka City,No,No,Yes,Yes,No,No,Bad,Yes,1,8,2.43,2.26
Average,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,Yes,Good,No,2,6,3.06,3.2
Bad,Average,Yes,Average,Yes,In Dhaka City,Yes,No,Yes,Yes,No,No,Good,Yes,1,8,2.12,2.52
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Average,No,4,6,2.99,2.8
Average,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Average,Yes,3,7,3.44,3.3
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Good,No,5,5,3.61,3.35
Average,Good,Yes,Average,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Average,No,4,8,2.97,3.02
Average,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,No,No,Good,Yes,3,6,2.84,2.88
Bad,Average,No,Bad,Yes,In Dhaka City,Yes,Yes,Yes,Yes,Yes,No,Average,No,0,8,1.96,2.17
Average,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,Yes,2,7,3.31,2.34
Bad,Bad,No,Good,Yes,In Dhaka City,No,Yes,Yes,Yes,Yes,No,Average,Yes,0,6,3.02,3.03
Average,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Average,Yes,2,0,2.94,2.6
Bad,Bad,No,Bad,Yes,In Dhaka City,No,Yes,No,Yes,Yes,No,Average,Yes,0,7,2.73,2.57
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,5,4,3.44,3.56
Average,Good,Yes,Average,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Average,No,2,6,2.97,2.86
Bad,Average,Yes,Bad,Yes,In Dhaka City,No,No,Yes,No,Yes,No,Bad,No,0,8,3.06,3.07
Average,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,No,Yes,No,Average,No,4,6,2.46,3.02
Bad,Bad,No,Bad,Yes,In Dhaka City,No,Yes,No,Yes,Yes,No,Bad,Yes,0,8,2.44,2.34
Average,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Average,No,4,6,2.86,3.31
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Average,No,2,7,3.14,3.16
Bad,Good,Yes,Average,Yes,In Dhaka City,No,Yes,No,Yes,Yes,No,Average,Yes,0,8,1.72,1.44
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Good,Yes,3,6,3.1,3.13
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,No,Yes,No,Average,No,4,5,3.1,3.35
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Average,No,1,5,2.84,3.16
Bad,Bad,No,Bad,Yes,In Dhaka City,No,Yes,Yes,Yes,Yes,No,Bad,No,0,8,1.87,2.38
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Good,No,4,6,2.67,3.47
Bad,Average,No,Bad,No,In Dhaka City,No,No,No,Yes,Yes,No,Bad,No,1,6,2.92,2.48
Average,Bad,No,Average,Yes,In Dhaka City,No,Yes,Yes,Yes,Yes,No,Average,No,1,7,2.54,2.34
Bad,Bad,No,Bad,Yes,In Dhaka City,No,Yes,No,Yes,Yes,Yes,Bad,No,0,8,2,1.69
Average,Average,Yes,Average,No,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,Yes,4,4,2.84,2.88
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,Yes,2,7,3.42,3.46
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,3,3,3.7,3.59
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,Yes,Good,No,2,0.5,2.87,2.34
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,2,2,2.94,2.7
